#node1	node2
O95197	Q8N612
O00161	O43752
P32121	Q8NGR4
P38405	Q8NGQ4
Q13094	Q99962
P32969	Q15843
O43524	Q99873
P49959	Q13315
O60739	P22234
P27348	Q9GZT8
Q13418	Q9NPH0
O00327	Q09472
P01570	Q08334
O94929	P15153
P14635	Q12834
P61160	Q07889
Q13651	Q9HBE4
P05387	P35268
Q8WXI2	Q96NW7
P02751	P02787
O75474	Q92997
Q96EZ8	Q9NZM3
O15121	O15260
P61604	P68104
O15116	Q9UBQ7
Q8IY92	Q9GZR7
P32881	Q99665
P32969	Q9UNX3
P30953	P35626
P60763	Q68EM7
P51828	Q9HAV0
Q9H171	Q9UBD5
Q14186	Q15329
O14920	P10145
P62993	Q9H2X0
Q16890	Q8IZ08
P22694	Q9NY47
Q13315	Q9Y6P5
P62877	Q14241
P25440	Q9NPI1
O00257	P41235
O15264	Q13202
P25787	Q9H8Y8
O14544	P42701
Q13347	Q92956
P61353	Q04206
O43633	Q9Y3E7
O60238	Q6NUQ1
O60721	P16333
P62837	Q9UKV5
Q99436	Q9Y5K5
P17612	Q9UGI9
P13569	Q9H3R2
Q9BQ66	Q9BYR7
P31785	Q9GZX6
Q9H1Y0	Q9HC96
O95707	P78345
P62875	Q15653
P01112	Q16539
Q03112	Q92793
P62805	Q969G3
P56537	Q9Y617
P61086	Q8WVD3
O75015	P20963
P62249	P62857
P63096	Q9UBI6
P55265	Q92900
P09471	Q13467
P47992	P51686
P04350	P19438
O43908	P13747
P01106	P57678
P51617	Q9NPH3
P24557	P37231
P35249	P63104
P22888	Q9Y4K3
P01116	Q13972
Q13362	Q7Z3S7
P46940	Q06124
P25445	Q13546
P61587	Q96QB1
P23508	P42704
P49841	Q15154
P18583	P31946
O14544	P78552
P46459	P48169
P01023	P01137
Q8IYU2	Q92985
O75478	Q12962
P18077	P46778
O95260	Q13535
O15085	P17081
P00533	P42338
P62837	Q13233
O75689	Q12874
P49755	Q9NZ42
P17542	Q9Y5B9
P05556	P22105
P27361	P35568
P08581	P10767
O60290	Q9ULK2
P26232	P63261
P49815	Q9BVC4
P01567	Q5VWK5
P26006	Q07889
O96006	P02766
P07359	P14770
O75940	Q9NQ55
O95477	P02647
P08151	Q9UMX1
O14578	P61586
P17844	Q08211
Q13263	Q9P2S5
P23229	P53420
Q8NFH8	Q9ULH1
P05121	P27540
P51991	P52565
O15514	P30876
P62140	Q13625
P09455	Q9H7L9
Q99558	Q9BQ67
O15162	P00533
Q6DRA6	Q9UPS6
Q13310	Q14164
Q8NFM4	Q9UK08
Q92985	Q9NWZ3
O95967	Q5VTD9
Q9GZR7	Q9Y276
O95201	Q9NRR5
Q9UL18	Q9UPQ9
Q13573	Q9H0H5
Q03135	Q12778
Q14197	Q9H9J2
P04899	Q9P2W3
P52566	P61586
O15198	Q9H173
P25054	Q96RT1
P05141	Q13233
P27361	Q8WWQ8
P38432	Q9H2G4
O14920	P05771
P62829	Q9Y572
Q15561	Q9NQB0
P17066	Q99558
P03886	P03923
Q07889	Q8N431
P62714	Q16537
Q15024	Q9Y3B2
P62979	Q9NZ52
P01106	Q9BZM1
P06213	P48736
P16885	Q8WV28
Q03013	Q04724
P19525	P56537
P62805	Q6PI98
P02751	P23142
P36578	P49207
Q9BQS8	Q9H492
P31751	Q6ZSY5
O60603	Q86XR7
Q13432	Q15486
P01242	Q01344
O15245	P51610
Q6FHJ7	Q9H1J7
Q99459	Q9NR12
P17301	Q9HBI1
P25786	P53350
Q13111	Q71DI3
P27361	P67775
Q7LG56	Q8WXE1
P20226	Q09472
P23919	Q12834
O00257	P48552
P10144	Q71U36
O15379	Q7Z2G1
P17252	Q02930
P43246	P54132
P25024	Q8NHW4
O15399	P51817
Q13443	Q99962
28900	P27448
P40937	Q7L5N1
O95084	P42695
A0JLT2	P42166
P05023	P20333
P01588	P26951
P13349	Q02535
P31749	Q16821
O95201	Q99750
Q13315	Q969K7
P19438	Q05397
Q9P2W3	Q9UBY5
P02647	Q8N139
P60763	Q9UHY1
O14544	Q969J5
Q13315	Q66K89
O60383	Q12906
406906	Q9NRW1
A0JLT2	O14645
O14610	Q9HBW0
O96019	Q14676
Q13261	Q9P0W0
P46379	Q7L5D6
Q9H853	Q9UGJ1
P46736	Q9NXR7
P41743	Q4KWH8
Q96B02	Q96G75
Q92752	Q9UKX5
Q71F56	Q9NPJ6
P42345	Q70Z35
Q92796	Q9NVX7
Q12996	Q14164
P49720	Q99436
Q96T60	Q9NP98
P59768	Q9UBS5
P42766	Q9NX58
P51991	P55795
P20591	Q9UL62
O95163	Q99558
Q96EV8	Q9UPN3
P63000	Q16539
406953	Q8WY64
O75822	Q16890
P62316	Q9H0H5
O60674	P00533
P25963	Q00610
P24394	Q05513
P43355	Q9BZY9
Q04721	Q9NZ42
P63261	Q9UKX2
O60674	P32297
O00329	O14775
P25025	Q92583
O75534	Q9UBN6
P01100	Q08050
O14561	O75438
P67870	Q9UKA1
Q5VST9	Q8WZ42
P08311	Q9UIV8
Q9NYG5	Q9UM11
O43809	Q16630
O75116	P19634
P19784	P25963
P35354	Q16659
Q16891	Q96A49
Q01658	Q9NRF9
O43318	O95163
O75164	P10275
O15519	Q9Y572
O75956	Q16643
P60709	P84022
Q5W0V3	Q9UGN5
P78545	Q9NSB4
Q06587	Q13573
O00422	Q9UK53
Q7Z4H7	Q9BT25
Q13535	Q8IY67
Q9BTT4	Q9UHB7
O14980	P27540
Q13084	Q13509
P18859	Q99759
Q00403	Q08050
Q13151	Q14011
406886	P05231
P63104	Q8TEW0
O75935	P40425
406888	P01112
Q12772	Q9Y6R1
Q07157	Q9BQE3
P55318	Q16630
Q02156	Q8NER1
P40225	Q99650
O15479	Q9Y3U8
P04141	P26951
P12004	Q13428
Q8WX92	Q8WXU2
P48050	Q13424
O43639	Q14185
P35626	Q8NG85
Q7Z478	Q9HA65
P04839	P42224
P06241	Q8TB24
Q6STE5	Q8NFD5
P05814	Q9H0E2
442917	P15692
P08708	P46782
P49842	Q15427
O60318	O94985
Q96BN2	Q9Y4A5
P04844	Q09028
Q8NHZ8	Q9UNH5
O43374	P62070
P05556	P19320
406906	P50995
O60381	Q01844
P49238	Q92583
P01215	Q05209
O43281	O60504
Q15906	Q9Y4A5
Q12906	Q92597
O14773	P33076
O60383	P50570
O00327	O15534
P09038	P11362
Q13315	Q9NRY4
P01112	Q07890
P01106	P24394
P02771	P30480
O00144	P50148
P07996	P08514
O75486	Q16514
O75439	Q14197
P61077	Q9NZQ3
O43639	Q13418
P55273	Q12778
P62906	Q02878
P05112	Q969J5
P20809	Q9HC73
P11171	P26640
P28482	P36507
O14503	Q9H0E2
P32881	Q13261
P38405	Q8NH50
P19367	P27540
P01106	Q7Z4Q2
P13945	P34947
O95782	Q9Y4K3
P98095	Q05084
P35346	Q9HD26
P51817	P63096
P11940	Q9Y478
P30876	Q15560
P29590	P68400
P61956	Q9NRX3
Q15796	Q8NF50
P08887	P13232
Q86UT6	Q9H2V7
O00264	P48039
O43242	P43686
P62140	P62993
P19793	Q9H0E9
P06576	Q15717
P22004	P36894
Q13158	Q7Z434
P17948	P46109
P15248	P42701
P60896	Q9GZQ8
Q6W2J9	Q8NHM5
P61313	Q02543
P19838	P52926
Q8N114	Q92905
Q9P1Z2	Q9UJU2
O75367	P23527
Q99459	Q9NVI1
P22626	Q16629
P82979	Q13838
Q06124	Q7Z6A9
O60315	Q15796
P56704	Q9H1J7
Q15750	Q16539
Q12968	Q14814
P27361	Q92731
P29972	Q6UY14
Q99619	Q9UBF6
P35226	P35227
O15111	P15498
P53779	P63096
Q13635	Q99835
Q9BZ11	Q9NRR5
Q96EN9	Q9Y6X2
P20248	Q9NYG5
Q8N4P2	Q9Y283
O60925	Q9Y5X3
P18146	Q5T5Y3
P27361	Q07352
P24530	P50148
O14775	P08908
O00311	P33993
Q9BVJ7	Q9NYL9
Q8IY92	Q96RP9
P36873	Q96A00
P27361	Q12772
P24385	Q01094
P62837	Q9ULK6
Q15543	Q15544
P04745	Q08945
P45985	P46108
Q8IVH2	Q9H334
P09471	P35498
O94875	P62258
O94906	P14678
P35222	P84022
P49810	Q14192
Q05639	Q99759
P17676	P19838
P29350	Q8N6P7
P31751	Q8NEB9
P63279	Q14103
O00459	P19320
Q86TI0	Q9UGJ0
P29992	P49796
P42262	Q13554
P11274	P18031
O95467	P61952
Q01196	Q99706
O15504	P78406
P01106	P16615
P28482	Q9NYA1
Q15388	Q96C03
P01730	P20036
P05771	P17302
P07355	P16104
P10721	P15692
P05230	P08069
Q14525	Q9NW61
P18621	P83731
Q96QK1	Q9Y478
O14746	Q99973
P04637	Q9Y4A5
P10144	P29466
P01567	Q8IU57
Q00839	Q14103
Q13547	Q14186
P43657	P62879
P31751	Q9UKX3
P01891	Q9NYU1
P78406	Q9UKX7
O94927	Q96CS2
Q6NUN9	Q9NR28
P19429	P22694
Q07817	Q96N67
Q07820	Q8IVG9
Q13153	Q9HAV0
P07101	P63104
P05067	P30519
P17612	Q8TCW9
P26373	Q99558
Q15287	Q9GZR7
P82279	Q8NI35
P67870	Q9BRU2
P55268	Q9UKX5
Q99728	Q9NXR7
Q92997	Q96MT3
P18084	Q14031
Q5QNW6	Q8IUE6
P12931	Q07960
P06241	P16871
P26583	P27695
O95837	P28223
406909	Q15910
P20020	P62258
Q96BR9	Q96JP2
Q96SB8	Q9UM73
Q13976	Q15759
Q08379	Q96JF6
P62714	Q8WXS5
P62993	Q05397
P18206	P62736
Q96N46	Q9UQ35
P14780	P16070
P01563	P31785
P25024	Q9Y258
Q6DN03	Q96RL1
P10275	P30304
O75077	P04156
Q05519	Q08170
O15263	P09237
P46777	P62750
P38936	Q08050
P56945	Q14209
O95373	Q9Y4K3
O43896	P62258
P62955	Q9Y2T4
O43524	P62258
P62070	Q07890
P10398	Q12805
Q9BRV8	Q9Y3A3
P16220	Q9H7R5
P00533	P62979
O15355	P30533
Q05519	Q13242
O00716	Q06609
O60566	Q9UI95
P52198	P98171
P01909	Q04724
P23527	Q8WUI4
P46092	Q9Y258
O75365	Q9NU22
O94921	Q04771
Q71U36	Q99836
P00519	Q9UBS5
P04181	P23508
P05556	Q92569
P67870	Q8N205
P27694	Q8IYD8
P40763	Q9Y478
574501	P16298
Q14005	Q96MA1
P42702	Q9UBD9
O75716	Q6UY14
O75940	P39023
P02768	Q9H974
P14598	P31749
Q12788	Q7L2E3
Q13247	Q92620
P68104	Q5VVJ2
P43686	Q92753
P0C7T3	P38405
406953	Q16827
Q14008	Q9H2G2
P22607	Q99963
P56524	Q16665
P52945	Q03014
P47869	Q9NQX3
P26378	Q9NZI8
O00237	P61088
P41182	Q9H0J9
P35916	Q15147
P83731	Q9NX58
P35244	Q86WJ1
P63165	Q92786
P15248	Q969J5
P26678	P62136
Q15291	Q9P0U4
O94929	P60763
P02751	P27658
P36543	Q14696
P61952	Q99677
P54274	Q8TDM6
P01241	Q15365
O75689	P24522
P15336	Q96BA8
Q92859	Q9HB63
A7KAX9	P06241
O95013	P32121
O00159	Q9Y5J5
P98164	Q15075
P30153	Q9UKE5
P35611	Q9H840
P51681	Q92583
Q14318	Q16539
Q15428	Q8IWZ8
P19838	Q9BZ23
P55854	Q96EV2
P09619	P14210
P63000	Q8IWW6
P19338	Q13233
P12931	Q9UKX5
Q14BN4	Q9Y6E0
O00305	P78559
Q6UXH1	Q9H7E9
P49716	Q9Y5Q3
O43524	O43741
Q8IX04	Q96C23
P02747	P08246
O14576	P50570
P40939	Q9H492
P63010	Q06124
P01566	Q8IU57
P48443	Q92830
O15145	Q15029
P11488	P18545
P35580	Q99759
P01569	P31785
P10827	P63261
P22694	Q86YV6
Q12851	Q16584
O75937	P52272
O43290	P63165
P61289	P62195
P07359	P27986
P27986	P30273
P11234	Q16512
Q00610	Q92597
P35226	Q06587
P19878	P53778
P55212	Q9H2X6
P04792	Q13315
Q86VX9	Q96AX1
P61586	Q9BUA6
P45983	Q13363
P58062	P82930
P01889	Q9UGP8
P0CG48	P12004
P20042	P78344
O60359	P30559
P62857	P62979
O43674	O43676
O75326	P06241
P07339	P16104
A7MCY6	Q9UHD2
Q4U2R8	Q92624
P60953	Q9NQU5
P01009	P35030
P35222	Q16620
Q15637	Q9Y580
P51817	Q9UK08
P16871	P30626
Q14181	Q9BTY7
Q14451	Q9UMN6
Q13153	Q13485
P68104	Q9UNF1
Q13247	Q9BUJ2
P01892	P26717
O15371	Q14152
P04637	P62736
Q8IZH2	Q9P0J0
Q13315	Q4VC05
O43491	Q13813
P49841	P54840
P48634	P54259
Q15723	Q99459
P42338	Q9HAV0
P30480	P40616
P42680	Q8WV28
P15056	Q13164
P20671	Q9BY41
O95837	P32238
P04899	P47898
O00574	Q16627
P08754	P50151
P0C0S5	Q9UPT9
Q96KG9	Q9UIA9
C9JDP6	Q8N7P3
P06756	Q07890
P05783	Q9H0H5
Q01082	Q13485
P07900	Q9UPY3
O60814	P61964
Q9NR96	Q9NSB4
Q15369	Q96G25
P30281	P55273
O95999	Q9Y4K3
P48556	Q15008
P05771	P56945
P11274	Q5T2W1
P13807	Q8IY92
P01889	P12004
P46527	Q9Y478
O15265	Q86TJ2
Q01085	Q16539
Q13873	Q15796
Q969T9	Q9UH03
P52597	Q00839
P01562	Q5VWK5
Q92796	Q9BQ90
Q13467	Q6FHJ7
P17535	Q16520
O75400	O95466
Q13077	Q96CV9
P41594	P84996
P31751	Q16821
O60674	P01562
P62258	Q684P5
Q13315	Q9BUH8
P20273	P27986
P0CG48	Q96PM5
P10747	Q92569
P32121	Q8TAQ2
P24043	P26012
Q13233	Q92598
Q9H8Y8	Q9NXV2
P20936	P29317
P19022	Q12913
P31751	P62140
Q13137	Q8N715
Q9H761	Q9Y383
P50453	Q8N8V2
P15374	Q9Y328
O60503	P61952
P15036	P28482
O00470	P31269
P12036	P53778
O94776	O95983
O43353	P30084
Q15024	Q9NQT5
Q15834	Q9BT92
O60716	Q6IQ23
P04637	P23511
O15162	Q15637
P35626	Q8NGB4
O43561	P42336
P27635	P35268
O15259	Q13444
P24864	Q9UJX5
P98170	Q9UHD2
P17612	Q06710
P03971	Q16671
Q16586	Q96LD1
P61086	P63165
P58166	P61812
P62701	Q9UKV8
O14933	Q9Y508
Q8NFH3	Q99567
O75832	Q9BW60
P15248	P24394
Q9NPI8	Q9UBZ9
P09651	Q13151
P50151	Q13972
O15264	Q12778
P52198	Q92608
P63279	Q13867
P11387	P18858
P35626	Q8NH00
Q13257	Q92731
P52565	P60763
P25054	Q9UNN8
Q00987	Q92841
O75943	Q8WXE1
P32121	Q9NZP5
407035	Q9BZS1
O43516	P08631
P35372	Q5JWF2
P58876	Q14164
P17028	Q5T3J3
O00459	Q7L0Q8
P27361	Q9NYJ8
P53667	Q9Y281
Q96Q83	Q9NXR8
O95168	P03905
P23508	Q13085
O95639	Q13573
P42263	Q05586
P10586	Q03135
O60496	P00533
P60520	Q92945
P17535	Q13485
P34947	P35372
O94817	Q16543
Q15750	Q8TEL6
Q7Z434	Q9Y6K5
P08887	P09919
P62714	Q01668
P43364	Q9H788
P08648	P18564
P15036	Q15326
P16885	Q13191
P61088	Q96EQ8
P46783	Q9BQ70
P08069	Q9H4P4
Q8N5C8	Q9NWZ3
O60264	P62805
O00182	P13612
P28482	P51817
P12314	Q6PI73
P32969	P62891
P18858	P41220
O14818	O60260
Q5JY77	Q92734
P05386	P62910
P78347	Q13573
P22607	P49765
28881	Q96PG8
Q15139	Q9H492
Q8N3U4	Q9UQE7
P16152	Q13216
Q00610	Q14919
P31260	Q03164
O00231	P55036
P08865	P62979
O60869	P21675
P46060	P63165
O15121	Q9UL03
P60568	Q9H334
Q9H788	Q9Y286
P62993	Q9NZS9
Q99459	Q9Y613
O76003	Q96KM6
O75461	P30304
P09919	P15509
P62753	Q13233
O95400	P28749
P19235	P32881
P17480	Q9NPF5
Q7L5D6	Q9P2S5
O43707	Q15942
P01106	Q96PZ0
P25054	P49790
P32121	Q8NGE5
Q96CW9	Q9HBW1
P52198	Q8IWW6
O43741	P17612
O14686	Q15291
P49662	Q93008
P05093	P40424
Q96L33	Q9H7D0
Q06124	Q96LC7
O14514	P04637
Q15287	Q9UHI6
P14635	P51948
Q9BU76	Q9H190
A8K6C2	Q13651
O95208	P22607
P0CG48	P60900
P25205	Q8WYH8
O15264	P07814
P10721	Q9Y4K3
P61088	Q9HBD1
P14416	P32121
P55795	Q12906
P11047	Q496J9
P42338	P42702
P00533	Q9H201
P25116	P63218
Q5T3J3	Q9HCU9
Q8TDN6	Q9NX58
P08047	P15692
Q16543	Q99759
P27361	Q9NZ20
P11912	P40259
Q00653	Q03405
P35555	P35556
O15111	Q8NI38
O95185	O95631
P06241	P30260
O00255	P61964
P0CG48	P54727
P23759	Q15788
P22681	Q96J02
O15524	Q9UM73
Q71DI3	Q9Y6F1
P63165	Q92610
P14784	P52333
P39023	P62987
A8TX70	P18564
P09651	Q8IWZ8
O75815	P62750
Q9GZS1	Q9HC36
406911	Q96LC9
P51991	Q13242
P84022	Q8WYQ5
P61604	Q5T3J3
Q15047	Q9BXR0
O43439	O75081
P20226	Q00987
O14950	P61586
P16220	P49716
Q9BPW8	Q9H0R8
O43390	P00519
Q9BRQ0	Q9UPT9
P17844	Q9UKV8
Q92851	Q9Y6K9
P25940	P26010
P25054	P52948
P0CG48	Q13191
P35626	Q8NH18
O15239	O43677
Q04917	Q3V6T2
O95863	Q13153
Q7LC44	Q9GZT8
Q13472	Q9H9A7
Q8IU54	Q969J5
P56545	Q13363
O75369	Q13797
Q5QNW6	Q96RL1
P05113	P40189
O14936	Q9Y2J2
O43143	Q15428
O95167	O95182
P06400	Q15022
P23443	P42345
P11274	P46108
O95551	P63279
P01040	P07711
P28702	Q9Y6Q9
P26010	Q01955
O15021	Q13315
O95210	P60520
P04792	Q9UMS4
P63000	Q9Y3L3
Q01970	Q9UBI6
P11388	Q9NR30
P51684	P80075
Q69YQ0	Q9BZE0
O43251	Q9NW64
P08123	P18564
Q14457	Q92622
P0CG48	Q9H0E2
P01106	Q9Y265
P14866	P52756
P00519	P98161
P40763	Q04206
P11021	P14625
Q13216	Q92759
P01106	Q9C040
O00574	P34947
P00403	P63104
P43250	P51685
P02675	Q16637
P41252	Q99759
P13942	Q05397
O15131	P52758
P04637	Q16363
P37198	Q96QU8
Q13315	Q8NDZ2
P43246	P62330
P48147	Q9Y478
Q13616	Q9H4M3
P16144	P21333
Q13233	Q9BUF5
O00221	O95816
P01570	P19235
Q12824	Q9H5J8
P14317	P50570
P36578	P83731
P01116	P17252
P22694	Q14573
P62993	Q9Y230
Q08289	Q9Y2T4
P19793	Q05516
P13385	P35052
P05106	Q01955
Q13422	Q13547
Q03468	Q9HCS7
P24530	Q9Y210
P08138	Q9NWZ3
Q08380	Q9HCU0
Q14653	Q9Y3R0
Q9HB96	Q9NW38
P08754	Q92847
O00231	Q5UIP0
P53671	Q9P286
P30153	Q9Y570
Q16821	Q9UD71
O15455	Q13114
P05107	Q9Y4G6
P19838	Q99558
P63261	Q04206
P85298	Q99961
P0CG48	Q9NX09
Q9UIG0	Q9Y5J5
O14929	P16104
P11474	Q92830
P32969	P61254
Q8WU17	Q92905
P01106	Q9NR56
Q16665	Q92831
Q8IY92	Q9H0U9
P35221	Q9UHB6
Q6P1J9	Q8IX03
P08253	Q9Y5S8
P48357	Q8IZJ0
P04637	P26358
P43364	Q96LM6
P08581	P20827
P04049	Q13526
Q96AY2	Q96NY9
P30939	P62879
P67870	Q9BV38
P17947	P29590
P32121	Q8NGS3
P62987	Q99942
Q02224	Q96BD8
P17181	Q9UKB1
P01106	P42704
P62258	Q05639
O75529	P02766
P15880	P39019
P60953	Q9Y4K3
P19387	P61218
P20226	P67870
P25490	Q9Y265
Q03135	Q13586
Q15916	Q9Y618
P24530	P56645
O95433	Q9Y2D5
P08047	P19525
O75874	Q9UKY1
P61218	P62875
Q15796	Q9BZ29
Q10570	Q6UXN9
A8MTJ3	Q00722
P01579	P38484
P42226	Q9BXN2
Q16629	Q8IX12
P16471	P62937
O75365	O76031
P04083	Q04206
P08729	Q07889
Q8IYD8	Q9BXW9
P42575	P62993
Q96BK5	Q9UHV9
P05386	P15927
Q13972	Q9NZT1
O96019	Q96GM5
P51668	Q9UBF6
P01106	P05067
P60660	Q02045
P31152	Q13115
P62851	P62993
O14640	Q8TAA9
Q9P2H0	Q9Y265
P24863	Q13547
P01137	Q09028
Q07890	Q8IV61
O75530	P13612
O43707	Q08043
P17612	P18847
O95257	Q9Y383
O75019	P31994
Q149N8	Q969H0
P62249	P62701
P13797	Q9UET6
P49841	Q13418
Q14686	Q92753
P25788	Q9UET6
Q07890	Q9Y5S8
P23508	Q13347
P62834	Q13009
P35626	Q8NGT2
P01106	Q9BRX2
Q99942	Q9P055
O96013	P17081
P15529	P40763
P61513	P62945
P22090	P62244
P62993	P68366
P01889	P46108
O60674	Q14469
Q15147	Q9ULV1
P24941	P67870
P26992	P29597
P08648	Q13797
O60563	P03372
P61077	Q9P0P0
P51878	Q9C000
P05019	P42338
O75533	P62258
P29459	Q99062
Q9UI36	Q9UJ70
P15260	P29597
P04637	P20073
Q5JSL3	Q92730
P27986	Q06187
P19438	P63261
P35222	Q9HCK8
P09884	P49643
O94856	Q13315
O00327	P48730
P17252	Q9BX67
O43561	P12318
P04222	Q00610
O00327	P49674
Q86Y13	Q9BQ87
Q15717	Q96EB6
O14775	P53779
O43915	P41235
O14654	P45984
P27694	P54132
O14879	Q12933
P40337	Q9UNM6
O95232	Q13315
Q13617	Q15843
P07199	P49841
P34998	Q03113
P25963	Q9NYJ8
Q03013	Q5T3J3
O95837	P34981
P05161	Q92985
O75150	Q6P1J9
P06493	P24864
O95819	Q96JQ0
Q15714	Q8TDY2
A6NF89	P32121
Q12904	Q16539
P22607	Q96JH8
O00459	Q9NSC5
P16220	Q6UUV9
P14679	P56693
A6NHL2	Q96NA2
O95433	Q96T58
Q13315	Q9NQ84
P60866	P62847
P27986	P49418
Q9GZN7	Q9NRI5
O95786	Q7Z2W4
P23284	P23508
O95793	Q96C10
P05091	Q8TCE6
P02458	P21781
P06213	P27986
O60739	Q15382
P01583	Q9NPH3
Q05655	Q9H0R8
Q7Z5R6	Q9Y490
O15111	Q9Y4H2
P01106	Q12824
Q8WUA4	Q9Y5Q9
P61586	Q9P286
O43524	P45984
P51681	Q9UBD3
Q16514	Q86TJ2
P53708	Q13751
O95707	Q99575
Q06455	Q96ST3
O60885	P27986
O95819	Q9UNE7
P20333	Q92616
P68133	Q9UBU8
P05114	P05204
407002	Q13555
A6NMZ7	P13612
P54253	Q6V0I7
P11171	Q13642
P01106	Q9UKY1
Q13490	Q9H0E2
P0C0S5	Q96DB2
407050	Q01094
O43524	P53779
O14641	Q8IYF1
P51149	P61421
P28324	Q6SJ96
Q15796	Q8N6I1
Q04206	Q9Y2U5
Q9NV56	Q9Y230
Q92730	Q9NQU5
O00541	P32121
O60506	Q15428
O00327	P07900
Q15323	Q16611
O76081	P46108
O15350	P14635
P04406	P07738
Q14103	Q9Y6M1
P01112	Q96PV0
Q9UHC6	Q9UPN3
P19419	P38398
O60503	P55011
Q13315	Q49MG5
P17542	Q9C0K0
Q8WXK3	Q9BVJ7
Q3V6T2	Q9Y4K3
O60603	P22314
P31947	P40818
O95786	Q96S55
P12081	P24534
O60403	P38405
P08631	Q05397
P50914	Q9Y3U8
P10147	P25025
O60925	P13378
P55157	Q14767
P10966	P13747
O76099	P32121
Q03181	Q8WUI4
P02786	Q96S59
P10242	Q9H2X6
P30876	Q13315
O14827	P63211
P27448	P62258
26765	Q99966
P31152	P35568
P11474	P62508
P42336	P50993
P19235	Q8WXH5
P61978	Q13242
Q96IX5	Q9NRR5
Q13263	Q13522
P32927	P42338
P61970	Q9UET6
Q14152	Q99613
406907	P51159
O95166	P28472
P29459	P42224
P19105	Q14164
P02774	Q6P1J9
P36897	P52757
Q13573	Q9UBG7
O00571	O43502
P09693	P42338
Q13501	Q9H761
O00459	P52735
Q10570	Q12996
P22607	Q92569
P07900	P12830
P08700	P24394
P55209	Q92793
Q8IUD2	Q9UGN5
P21796	Q14697
P16671	Q05397
P08138	Q8WYR1
P04406	Q6DN03
P46782	Q9HCK5
Q16625	Q8N6F1
O00459	Q08881
A6NMZ7	O75578
P22694	P45984
Q13573	Q9HCK8
Q13155	Q5D1E8
Q14683	Q86V81
P13639	P54725
O75554	Q15637
Q16659	Q96KR7
Q13315	Q8NFC6
P30304	Q9UPP1
P06493	Q14209
P32121	Q96NX5
Q86VX9	Q9NVD7
Q02928	Q07869
P05556	Q9HBI0
Q13547	Q14938
P01106	P07858
Q01844	Q93009
P53778	Q14765
P25208	P28906
P68133	Q01995
Q9BUM1	Q9UGI9
P62993	Q08211
P08069	Q01970
O75525	Q8TBE0
P41182	P42684
P29350	P45983
O14654	P42336
O95400	Q08211
P55774	Q9UKR5
P01889	Q08211
O96013	Q02750
Q9HCG8	Q9Y421
P0CAP1	Q86VK4
P54646	Q53ET0
P51522	Q13153
A1IGU5	Q14161
P10275	P41161
P18084	Q92752
P07910	Q15365
P32121	Q8NHA4
Q9BUJ2	Q9NW64
Q6UX71	Q9H171
O15357	P62993
Q96L33	Q9NZN5
Q09472	Q16566
P04637	P10415
P05771	P50151
P55196	Q92963
Q15287	Q9NQ29
Q9NS23	Q9Y297
P00533	P49765
P07288	Q5VVJ2
P18124	P35609
O14775	O95897
P84243	Q9UJW3
O60671	Q9UJX2
Q8WXE9	Q9UBC2
P46531	Q9Y618
P51693	Q03013
P06576	Q16637
P46108	Q9P1A6
O76071	Q9Y5Q8
P40424	P42772
P84996	Q99527
P31152	Q9HBH9
Q9C005	Q9P0U4
O43157	P08581
P45974	Q9UBN6
P17612	Q9Y272
O43543	Q06609
P62917	Q07020
Q05397	Q92569
P55209	Q09472
P52948	Q9UKK6
O43318	P52564
O60566	Q12834
O15551	Q96AP7
O95602	Q9Y5B9
P29372	P52907
Q9NX70	Q9Y2R4
Q15118	Q92729
A5PKW4	P0CG48
O75159	P26992
P10636	P51817
P14921	Q16659
P38398	Q8WX92
O94885	Q9H204
P49715	Q16520
P30559	Q9Y698
P63218	Q15759
P62070	Q15283
P30504	Q9Y266
P28482	P51452
O75192	O96011
P32248	P35626
P51805	Q13387
Q13571	Q9H0M0
O15198	P01243
P22607	Q9Y4H4
P35626	Q8NGB8
P62987	Q9UNE7
P31947	Q6NUK4
P38405	Q96RD3
Q14626	Q9NYY1
Q08881	Q13283
P18031	P63165
P17612	Q92934
Q06418	Q96S59
P05129	P51828
P04626	P28482
O75038	Q02156
P04406	P10275
Q01201	Q15306
P08151	P78368
Q13216	Q13889
P30086	P40337
P35268	P61313
P18084	P35442
O00303	Q13347
Q05048	Q12996
P29350	Q8WV28
P11233	Q12967
Q12933	Q9UKL3
P16471	Q13007
P33176	P42262
Q9NX70	Q9Y2X0
O15264	O75582
P12814	Q5VTD9
P11387	Q6P2Q9
P34913	P41235
A8MT69	Q14469
Q14204	Q96AH8
P27361	Q68CJ9
Q6UN15	Q9P2I0
P60228	Q969Q1
Q13753	Q13797
P08243	Q14164
P26640	Q9Y4K3
P26373	P27635
P35222	P35869
P62491	Q6WKZ4
P42331	Q8IXI1
Q04206	Q99558
P63104	Q9NRI5
Q8WUM4	Q9Y5K6
P35221	Q8N5A5
O14544	Q04771
P0CG47	P31749
O00459	P52198
P01570	P24394
P01344	Q9NPI5
O00238	Q04323
Q13315	Q96NB3
P01100	Q13164
O43264	O60566
A0JLT2	Q96JH8
O60282	P42261
O95685	P41236
Q04771	Q969T4
P26010	P51636
O15372	P41567
P36954	Q9NX70
P05231	P38484
P32298	P46092
P13686	P62714
P06400	P62136
P05141	Q12933
Q9BTT4	Q9UBN7
P84022	Q9Y6X2
P17655	P55957
