#node1	node2
P09237	Q9HCS4
O75489	Q14197
P05015	P16471
P14635	P61981
P14921	P31152
P07942	P13612
P28482	P49815
O00308	P50552
P59768	Q16539
P08069	Q9ULV8
O00141	P14866
114614	Q96A56
O14576	Q9BVA1
554213	Q00534
P08107	P27695
P26012	Q9HBI0
P01562	Q08334
P15927	Q13535
O15162	Q9UBP5
P21802	Q92913
P03372	P27361
P12956	Q9H9Q4
P30480	P54136
Q15233	Q53ET0
P25942	Q9NYJ8
Q14416	Q9UK08
P01241	P26368
P14866	Q8IYB3
P98160	Q9NZL6
O43921	P22607
Q13042	Q13257
P29350	Q5UE93
Q92734	Q99759
P60709	Q96A23
Q86V81	Q8IYB3
P25054	Q13263
P01023	P08246
P46063	P52292
O43795	Q9HAW0
P48643	Q9HA65
Q9BY84	Q9UQF2
Q15047	Q9BWC9
P39023	P61978
P12814	Q96HC4
P41597	Q16627
P61586	P63267
P47914	P61254
Q8ND90	Q92831
P01106	Q9UQ84
P38484	Q8IU54
P30085	P56537
O14936	P34741
P29597	Q14765
Q04759	Q9NRA0
P05412	Q9Y243
P19838	Q15759
P42336	Q9UM73
A4D0S4	Q05397
O60331	O60716
O95400	Q08170
O14713	P22392
Q9UGN5	Q9Y6X8
Q13315	Q15345
Q13007	Q969J5
P30511	Q8N109
P30504	Q63HN8
O14543	O43318
P10911	P15531
P30304	Q04917
P11362	Q8WYR1
P12757	Q9Y6X2
P02751	P05106
P22090	P62854
P32856	Q15836
P22314	P63104
Q13547	Q99684
O43542	O43543
P08620	Q01860
O94916	P01375
P08631	Q53H12
O60237	P10916
P13861	Q92667
O00329	P05107
Q01113	Q13007
P53420	P98095
P01375	Q05215
P62140	Q13555
Q8NB91	Q9NVI1
P16070	Q01955
P16070	P52735
O95433	P42684
P41182	Q09472
Q13469	Q9H334
P27482	Q86YV6
P41182	P42224
O94761	Q8IWV8
P01236	Q6UXL0
P27986	Q05193
P13945	P84996
O00566	P62136
P23246	Q9UBW7
P05166	Q00005
O75508	O95832
O94763	Q16186
P09619	Q9HCT0
P25786	P25787
O15169	P62140
Q13555	Q13557
Q13772	Q9UBS8
Q00987	Q9H3D4
P48788	Q92753
P15735	P27482
P35613	P49459
O43741	Q9UGJ0
O60925	Q15287
O75569	Q9UPY3
Q13573	Q96I25
A8MYJ7	P60510
Q13535	Q15291
P49023	P51956
Q16513	Q86YW0
Q96RJ3	Q99558
O43639	Q16630
Q92934	Q9P286
P54725	Q09472
2310	P35222
O60504	Q5T5P2
O00217	Q16795
P25398	P42677
P20248	P38398
Q8IY18	Q96SB8
P18146	P84022
O95622	P38405
O14625	P51686
Q7L590	Q8NHQ1
O14493	P78369
Q15819	Q9BXR0
O15264	P10398
P35626	Q8TCB6
Q00005	Q9Y3T6
P62805	Q9BZK7
P18754	P52742
574501	P04637
P04637	Q9BX70
P50238	Q5JY77
P62314	Q9NX70
P12004	P36873
Q14194	Q9NVP1
Q15369	Q93063
Q15545	Q9GZQ8
P22626	P52272
P01106	Q8TE02
P21741	Q07954
P31785	P60568
P15531	Q9H8Y8
P16471	P27986
Q14683	Q29RF7
Q5SXM2	Q92966
Q13164	Q9H1R3
P46779	P62899
P08100	P11488
P11912	Q02548
P05198	Q13347
P14859	P32302
P08581	P46934
P35228	P51114
P11171	P99999
P35568	Q13882
O95169	P03901
O43617	P0DI82
P27361	Q9P2W3
406947	O43524
P14415	Q13976
O00231	Q9NPI1
P27707	Q13535
Q13444	Q9Y5X1
P0CG48	P55072
P45983	P54829
O15400	O15498
P84996	Q3MJ16
Q14168	Q96RT1
Q01201	Q13748
P30281	P62140
O15131	P38398
P10244	P14635
O43175	Q7Z2E3
P46781	Q9NY93
P01579	P42224
P23297	Q9HB71
O43439	Q06455
P05067	Q05193
P06756	P46109
O75369	Q13233
P14373	Q9BUH8
P38936	P49715
Q13535	Q15007
O15162	Q96H86
P49427	Q9Y5L4
Q13158	Q9UNN5
P61981	Q3LI72
P04083	Q7L5N1
Q15024	Q8TF46
P49674	Q49AN0
P52434	Q8N7H5
Q13310	Q9UBN6
P10644	Q05469
Q00005	Q8NC51
P10721	Q9GZV9
P26951	Q969D9
P18615	P61981
P05014	P16471
P06400	Q02363
Q9Y4K3	Q9Y5U9
P20073	Q8WTW4
O14842	P29992
P56199	P56945
Q13794	Q14653
P49286	P59768
P54920	Q13507
P04049	Q16513
Q15311	Q86VP1
O15379	Q5VTD9
P48061	P51685
P18146	Q9NP92
P18146	Q9Y222
P32246	P47992
O14543	P08069
P02768	P08709
P31314	Q16619
P19419	P53778
P07225	P12259
A8K0R7	P63104
P39023	P42766
P01106	Q9BV86
Q969Q0	Q9H5J8
P11387	Q9UQ80
P53778	Q13424
P08134	Q96N67
P82933	Q9NZQ3
P27361	P42224
O60869	Q13285
P16104	Q13535
O75909	P02511
Q14315	Q9H2G2
Q93034	Q99619
Q96GF1	Q9Y2X8
Q15910	Q9Y237
P63261	Q9HBI1
O60269	P31947
Q12873	Q9UGL9
P04899	P48736
O95178	P51970
P46527	Q9NRD5
P78344	Q14240
Q13155	Q9P2H0
P61513	P62906
P18074	Q06609
Q15014	Q96L91
Q99417	Q99829
O95848	Q9Y6X8
O60381	O60844
P16520	Q99459
Q96BV0	Q9NPF4
P05106	P12110
P25786	Q9BQ83
O75832	Q9UNM6
P01106	P49321
O95816	Q99558
O14827	Q9HAV0
P05114	P22492
O95400	P82279
O15131	P36551
O75934	Q6P2Q9
P13612	P50552
O00499	Q99962
Q16760	Q92956
O95644	Q04864
O75676	P18848
O15264	P46940
Q16619	Q9HC73
A6NHL2	Q96CW5
P14625	Q14573
O15360	P12931
P14784	Q9HBE4
O15444	P61073
Q13535	Q9BQG0
P07199	Q08050
P13569	P31483
P06213	P21583
Q13310	Q96BK5
Q01113	Q9UBD9
P11940	P16104
Q16637	Q9NWA0
P07199	P49450
Q8WVD3	Q9Y2X8
P15498	P19174
554210	O60315
P12314	Q16539
P01106	Q93008
O60266	P17612
P43088	P50148
Q15797	Q9HCE7
P22694	P23634
P53539	Q13485
O14490	P19174
P04637	Q13619
O43318	P63261
P50570	Q9UJU6
Q05516	Q9NWR8
P32121	P47887
P18146	P36507
P60763	Q13177
Q13485	Q96KB5
O75886	P42566
P08173	P59768
O60895	P63092
P10720	P49238
P62273	P62753
P35998	P54727
Q99759	Q9H6T3
P05771	P67775
P04637	P04792
Q5XKP0	Q92956
P20248	P25208
P01106	Q9NVS9
O75909	Q9BQ66
O75197	Q92837
O00232	P43686
P33076	Q92769
P78563	Q13526
P15170	Q14457
O15069	Q9NRH1
O43281	Q8N5H7
P20701	P61224
P30260	Q9H2G2
P17535	P53004
Q03001	Q15287
O14640	Q13618
Q969Z0	Q9NYA4
O95071	Q9Y5V3
Q92769	Q9UK53
P10147	P51685
O60262	Q01970
406899	P06400
P25786	Q9Y4K3
P17931	Q9UMX1
A6NIT4	Q9HC73
P52756	P61978
Q14164	Q969Y2
Q13469	Q16539
Q8WYR1	Q9ULV8
P35222	P49789
P61587	Q9P107
P17612	Q9NY47
P63000	Q9ULL4
Q9Y3C5	Q9Y6I3
P07333	P49763
P14923	P36402
P62917	Q99558
Q13416	Q96CS2
Q13315	Q9NQV6
P16234	Q9NP95
O43657	Q5UIP0
P41279	Q8NFZ5
P08754	P50150
Q9UJX4	Q9UJX5
P06899	Q15291
P20618	Q9Y5K5
P01588	P40238
Q13009	Q8TEW0
P33176	P42263
O95071	Q96LR5
P50591	Q15628
P20701	Q9Y490
Q12906	Q14103
P18859	P56134
P01589	P42338
O43676	O95169
Q16643	Q6WCQ1
O00459	O14654
P58107	Q16695
P27540	Q8NI08
P01100	Q99576
Q13315	Q15751
O75116	Q04206
P42229	P45983
P22694	Q06710
P25774	P48382
P19438	Q96B97
P19838	Q92851
Q16777	Q16778
Q15759	Q99683
Q07812	Q99684
O95897	Q15907
P22612	Q08462
Q9UHD2	Q9Y6K9
O14733	P15153
P62241	P62841
Q13242	Q8IX12
Q6VMQ6	Q9P2E9
O00422	Q9UMR2
O60674	P05015
O00212	Q96HP0
Q16539	Q9H257
Q96Q15	Q9Y5S9
P24928	Q13535
P17948	Q9NQ66
P62330	Q9NVI1
O75528	Q9UPT9
P24593	P35555
P29466	Q86W26
Q13555	Q14934
Q9P209	Q9UM82
P22694	Q9Y272
P32121	Q6IEY1
Q9NQR9	Q9UGI9
P07437	P17302
P05386	P62424
Q71F56	Q9UHV7
P27540	Q01201
P01732	P04439
P21860	P52735
Q8TF74	Q9NZC7
O43318	P61964
P52564	Q00722
Q14683	Q9BUJ2
P61981	Q9ULK5
O95467	P48546
P11831	P49792
P01112	P53779
P61073	Q02447
P10644	P82279
P11473	P49913
P26441	P42702
P29597	Q9HBE5
P08514	P78509
P61266	P63027
P54646	Q9NQR9
P03897	P56556
Q92878	Q99708
P35968	P49023
O00763	P36956
P13797	P30480
Q9H324	Q9UHA4
P62805	Q92831
P23527	Q8IUE6
P42566	Q9Y6I3
Q9BYB0	Q9Y566
P17844	P35222
P16871	P68366
P12956	P20827
P52926	Q96LA8
P12270	Q16666
P62714	Q9Y4K3
P07949	Q13480
O60477	Q9Y5J5
Q969D9	Q9UHF4
P30305	Q15759
P32780	P51946
O75916	P04899
P18084	P35443
P62993	P63267
O43299	P14316
P06400	P42166
Q9NWZ3	Q9Y4K3
Q07890	Q92608
P06756	P26006
Q12974	Q8NE01
O00217	O43676
P15498	Q8WV28
P60604	Q9UDY8
P05129	Q9BZL6
P23470	Q02763
P27635	P61353
P33992	Q13315
P01568	P40189
O60264	P62993
P60763	Q8N1I0
P04628	Q06710
P47898	P62873
P01133	P52735
P01133	Q07890
Q99942	Q9Y2X8
Q13485	Q13976
O43242	P62333
P61421	Q6P1Q9
O75716	Q8N5Z5
P54259	Q6ZVL6
P03905	P25054
P48023	Q06187
P28482	P51955
574515	O95238
P05107	Q12929
Q12874	Q99836
P00519	P32239
P54253	Q8NDZ0
P01375	Q99558
P11229	P59768
O95685	P62140
P01106	Q5T5M9
P04899	P08908
Q13315	Q8NCE0
P45983	Q562R1
Q13573	Q7L014
P21860	Q9H201
P52798	Q02763
P13569	Q9Y608
Q9H9Q2	Q9UBW8
P07359	P42336
P07359	P16109
P63000	Q13233
O95168	Q9P0J0
Q9Y5P8	Q9Y698
P31749	Q66LE6
Q6P4R8	Q9ULG1
P20073	Q5RL73
Q9BYQ3	Q9NYV4
O43684	Q16186
P20248	Q92831
O00116	P01106
P23511	P35638
Q14790	Q9UNN5
P01236	P01589
O00574	P52333
Q86Y13	Q9NQZ3
406899	Q9P286
P61289	P62333
Q13554	Q8NER1
P61313	Q07020
O60266	Q9UBI6
Q13838	Q9Y3Y2
P04198	P04637
Q8IUQ4	Q9UHB7
P06241	Q14008
Q12841	Q14689
P47897	Q99558
P30086	Q96BK5
P43629	Q9UBF6
P06239	P35222
Q8IY92	Q9NZM5
P26441	Q14627
P04278	P60981
O43242	P48556
P27930	Q15750
P60484	Q06830
O00232	P55036
Q13315	Q5T6F2
P12956	P49959
P51677	P80098
P16035	Q13952
P06241	P11137
O00763	P54619
O95199	Q9BT78
O43491	P31946
O14795	Q96GM8
P16870	Q5UIP0
P47898	P61952
P32248	P43250
P17252	Q9UNY4
O15479	Q9UJX6
P42262	Q13557
O60641	Q6WCQ1
P01229	Q16659
Q8WZA2	Q9ULF5
P61981	Q5VTL8
Q14691	Q9BRX5
Q15047	Q9Y4K4
O75448	Q9NVC6
P23528	Q01518
P02768	P16871
P05129	P16220
P48736	P62873
Q92600	Q99759
P30559	P84996
Q99750	Q9GZM7
P27986	P61587
Q9HCK8	Q9UBL3
O00238	Q6KF10
P01889	Q96AG4
P35575	Q9Y261
P53779	Q16690
Q13153	Q7L0Q8
P30050	P62424
P06401	P42338
P01106	Q15645
A1A4Y4	Q00978
P49023	Q05397
P15408	Q10587
P08236	P23141
P08069	P61328
O43318	P60709
Q04206	Q15370
P10914	P20774
P56645	Q12968
O75937	Q01081
P32121	Q8NH41
P00533	P06493
O15520	P08069
P23258	Q9H0H5
Q86YT6	Q9Y5X3
Q16363	Q5UIP0
P27694	Q9UHY7
O75909	Q93062
P29460	Q9NPF7
Q8TDR0	Q9NTJ3
P30685	P61769
P05386	P18124
P04626	Q6S5L8
Q8N2Y8	Q9H0U4
Q9HC98	Q9P035
P62136	Q68CJ9
P51684	Q9Y258
O00459	P08631
P15692	P35916
P49841	Q96BA8
Q16649	Q68CJ9
O15520	Q02763
P08235	P34932
P49336	Q9ULK4
P48454	Q92934
P40933	Q01113
Q96AQ9	Q96EY1
O43261	Q13885
P14678	Q9Y3F4
P09619	P21781
O75159	P42226
P01568	P16471
P09619	P19174
Q96L33	Q9P286
O14777	Q99459
P17612	Q13733
P46531	P48745
P38405	Q8NGL6
P58401	Q8NFZ4
P35544	Q9NX58
P84022	Q01543
Q96CW5	Q96RT8
P08123	P43235
O60674	P19174
O75899	P04899
P68363	Q9BUF5
O76071	Q15773
P10276	P62324
P37231	P56524
O95267	P40337
Q9BQY4	Q9NYH9
Q12962	Q9HBM6
Q16658	Q9Y4K3
P52799	P54753
Q6P1R3	Q9NRL3
P35240	Q13177
P61981	Q96NE9
P19012	Q96GM5
P60709	P60953
Q14197	Q9H1K4
P15336	P84022
P62899	Q02878
Q16236	Q16881
P62873	P63092
O75354	P49841
O14641	P35813
P06493	P51587
O60733	P27361
Q08117	Q9BV47
O14610	P08172
O95299	P17568
Q13573	Q6ZW49
P22392	P31939
Q9BX70	Q9NPI1
O15015	P63279
P01566	P78552
Q5VTD9	Q8N6Y0
P10144	P50453
O14775	Q08828
Q6UB35	Q9P2S5
P19105	Q7Z406
O43193	Q5JY77
Q96G23	Q99608
P51681	P51948
P11387	P22626
P32121	Q8NGJ4
P15153	Q13153
P00519	P46013
Q8IWS0	Q9NX58
P46779	P61313
P09769	Q92556
P04156	P31948
Q93008	Q9HC98
P62249	Q00653
P45984	P63211
P20333	Q16531
P42773	Q16254
Q96EQ0	Q9Y5P3
Q96D21	Q9HAU4
P01889	Q3V6T2
P20226	P29083
P04278	Q96QD9
Q86UR1	Q8NFA2
O15530	P31749
P46019	Q16821
O60732	O75964
P12109	P26010
P51817	Q8WXS5
P18754	P98095
P25205	Q13177
O15264	P63151
P01106	P10809
O95453	P49137
P17676	P35354
O75529	P20073
P28482	P62714
P20333	P31689
P32969	P83731
P52597	Q08170
Q07890	Q9P107
P29275	P63092
P05771	Q9P2W3
O95631	P16144
O43914	O95944
P51948	Q86YV9
Q96AY3	Q9BQ83
P19838	P49642
O43566	P05556
O00329	Q08881
P09429	Q5T3J3
P10767	Q07889
P41250	Q9HCU4
Q16659	Q8WU39
Q6QNY1	Q9NWB7
A8MTJ3	Q9NYW1
P63000	Q15628
P10276	P55211
P19838	P27708
P07384	P20810
P23141	P58062
O75940	Q13435
P33992	Q09472
P61218	Q9GZS3
O00716	Q92922
P21554	Q9HAV0
Q01959	Q13554
P33993	Q13315
P06493	Q9Y5T5
P20823	P43487
P54727	Q9H4G4
Q13573	Q5UIP0
P35244	Q9Y2B9
O76093	P06213
407049	Q8WY64
P23528	Q15642
P23508	Q04637
Q04917	Q9Y2J2
P23219	P31152
Q04837	Q13315
O00499	Q13936
P53675	Q96CW1
P62256	Q99496
P08962	P12931
P32302	Q07325
Q02556	Q9BT78
O95751	P15622
P25205	Q13416
P01567	Q92793
P40337	Q86SX6
P15151	Q15762
P04899	Q9UBS5
P36873	Q02641
P05114	Q02539
P51149	Q13885
P62805	Q9NPF5
P52435	Q15560
P01241	Q9UKK9
P54253	Q6P1W5
P01589	P17096
P0CAP1	Q9NZD4
O15265	P62191
P19338	P27694
A8TX70	O75578
P01116	Q13554
O15111	Q15750
P38432	Q562R1
P16520	P22612
P06239	P48736
P61254	P83731
O75340	Q9Y5Z4
O43261	P25786
Q86UR1	Q9Y5S8
Q8IUE6	Q99879
P22626	P63104
P57721	P84098
P51812	Q8N122
P32121	Q99558
P27361	Q9BV47
P00533	Q13393
P84077	Q8NC60
A8TX70	P17301
O15055	Q96EB6
P78347	Q99459
O95166	P47870
P42677	P62854
P32456	P55957
P01857	P02766
Q9BZR9	Q9Y2X8
P30154	Q13522
O43491	P60709
P08138	Q15389
Q15311	Q96ED9
P12814	P25054
P11166	Q9UGJ0
P38405	Q8NGG5
P07437	Q13409
Q8WXG6	Q9HB75
O15264	Q13541
P35558	Q9UGJ0
P25054	P49841
Q04695	Q15149
P42772	Q9GZT6
Q02078	Q15672
O75943	Q13535
P62633	Q9BUJ2
Q13094	Q92569
P40126	Q9UJU2
P15151	Q9Y6Q5
P31946	Q7L8J4
P78552	Q16619
P06127	P20936
Q9UPN3	Q9Y4D7
406935	P03372
P30154	Q5FBB7
P00533	Q9ULV8
O00501	Q96B33
P17612	Q14957
P61978	Q01081
P08887	Q9HBE4
Q14627	Q9UBD9
P01106	Q8IY37
P46108	Q9UBS5
P21246	Q9UGL9
P23229	P24821
P32927	P35968
P07942	Q9NZC7
Q8IYH5	Q9H8E8
P30154	P54284
P01568	P48551
Q8IZJ1	Q9Y5P8
Q05397	Q15759
P18846	Q6UUV7
Q00535	Q01105
P54259	Q96QZ7
P61088	Q9Y4K3
Q13315	Q9UBC3
O60869	P05412
Q16513	Q9NYF0
O95361	Q15047
P01571	P38484
P01871	P68871
P15514	P26447
P53671	Q9NQU5
Q13045	Q5VZ03
P61981	Q9UBF8
O75925	Q14526
Q9UJX6	Q9UM13
Q9BSU3	Q9BXJ9
Q16891	Q9H0I3
P00533	Q8WUM4
P56192	Q9UBN6
P02679	P40763
P15311	P60520
P51532	Q9UM73
P62308	Q04724
Q13042	Q9UM13
Q08828	Q9NZT1
P08648	P13942
O95967	P04637
P27986	P30260
P02749	P43629
P08069	P20827
P19793	Q92769
P07900	Q9Y243
P08123	Q13683
P07202	Q14626
A6NIX2	Q9H4B6
Q00005	Q06432
P49639	Q03164
O00232	Q9Y5K5
P62714	Q66LE6
Q8N5C8	Q99558
Q99961	Q9H788
P31689	Q15750
O60814	P04406
P35221	P63261
P32969	P61313
Q9P0M6	Q9Y5B9
Q13530	Q9HAV4
P54259	Q96PV6
P35462	Q9P2W3
Q0VG06	Q9BTP7
P08047	P49716
P31947	Q99959
O43353	O60603
P17858	P54259
P21554	P63218
P28562	Q13616
Q86US8	Q9Y2T4
P22061	P25942
P35998	Q16401
P05112	P17676
O43809	Q13595
Q08493	Q16566
P61019	Q08379
O95819	Q13233
P35754	Q14653
P42702	Q9ULV8
P00533	P05783
P60520	Q8WZA9
O95347	Q13535
P21359	Q07890
Q04206	Q9Y2G2
P19174	Q08209
P84022	Q9BXF6
Q14197	Q9UBX3
Q13418	Q9HBI1
P24941	Q13111
P18146	Q92527
P53350	Q2NKX8
P06899	Q7L7L0
P16298	Q8TD86
P42126	Q14197
O43264	O43683
O94811	P04406
P08069	P20936
Q13522	Q9Y2T4
P40145	P62873
P35240	Q13136
Q16531	Q9H7D7
P28482	Q13733
O00463	P28908
P23528	P68133
P60709	Q15717
P22392	P41227
O43294	Q14289
O14827	P62873
P18754	P27694
P55157	Q9HCM9
P35658	P42224
P10276	P17947
P61026	Q14103
O14640	O15105
P84022	Q04771
P18146	Q03405
O95163	Q9NYY3
O75581	P58335
P32121	P52292
P42701	Q8IU54
Q99459	Q9H0A0
O00214	P26006
P56199	P78509
Q06413	Q9UKV0
Q5VTD9	Q8N2S1
P09237	P16070
P27361	Q13554
O00144	P04628
P38936	Q00653
P08603	P62993
P49591	Q9UET6
Q05209	Q07889
O00459	Q9Y4K3
P04035	Q9Y3M8
Q13535	Q96H79
P00846	P24539
P10599	P40337
Q99996	Q9UHX1
P11233	Q13393
Q14839	Q9BTC8
Q9BY42	Q9P2S5
P35372	P49407
P07948	P14784
P04899	Q14416
P0CG48	P21980
Q12931	Q13573
Q13753	Q9UKX5
Q9NWA0	Q9UPY3
P42336	Q9NSB8
P47755	Q6IBS0
P46937	Q9NRM7
O14807	P10398
O60721	Q9H2G2
P52566	P55210
Q15208	Q6R327
Q16514	Q9UPT9
O14561	O43678
P22301	Q14626
Q08493	Q09472
P41227	Q14194
P09619	Q96B97
P40937	Q5RL73
O43150	Q96B97
407009	P06870
P08648	P53420
P05771	Q15904
P15056	P45984
P48736	P63218
Q13224	Q9P0X4
P18077	P61927
A5YKK6	P02768
Q16629	Q8IYB3
O94979	O95487
P24666	Q13177
P04629	P22681
P13647	P15924
P46695	P58012
P38432	P51116
O15162	Q6UY11
P36639	Q9HC36
P23396	P60568
P28482	P35568
Q15847	Q9UK32
P05106	P49746
P15018	P24394
P83916	Q5T3J3
Q7L5N1	Q96SN7
O15371	P47813
406937	P08069
O00203	O60566
P99999	Q8NI27
P21246	Q9NZM3
Q15819	Q92560
P78537	Q6QNY1
P42771	P84022
P35236	P53779
P19438	Q96EY1
P41091	P43146
P02775	P32248
P51817	P60510
Q13255	Q14344
O14543	P26992
P07910	Q13247
P46020	Q86XI6
P30559	Q9UF02
O95249	P46459
P01111	Q5VWQ8
P14923	P52565
P07900	P19784
P04626	Q15717
P25116	P62873
O95139	O95298
P20774	P55157
Q02750	Q9UKG9
Q15080	Q16539
P21333	P23229
P20248	P51587
Q13315	Q96EP5
Q13077	Q9H857
Q07890	Q9H4E5
O95816	Q12933
P41597	P48061
P04626	P0CG48
P01137	P17813
P13725	P52333
P62191	Q15008
P05067	Q9P2D7
P63162	Q99963
P35222	Q9BV47
P42224	Q13555
P28324	Q13164
P28562	P45984
O43677	O95299
Q13490	Q15628
P68104	Q15486
P15391	Q6ZUJ8
Q9NZT1	Q9Y5V3
Q9NPJ8	Q9UBU9
P63104	Q04912
P78371	Q9NT62
O15198	Q96RR1
Q06830	Q9Y6P5
O95433	Q9UN73
Q86V81	Q9BUJ2
P35498	P51817
O60238	P08047
P07332	P23458
406913	P15036
P07949	Q9ULV8
P49715	Q15744
P16885	Q07890
P01857	Q6PD62
P26368	P38159
P25791	Q99708
Q8TDY2	Q92574
Q01196	Q04724
Q01844	Q9BQY4
406919	P20719
O15264	P12956
O15379	P0C1H6
P51686	Q16663
P38936	Q13485
P0C869	P63096
P98177	Q9HBY8
Q9UDY8	Q9Y6K9
Q13557	Q14432
P31689	Q9Y4K3
P52732	Q5VVJ2
Q92930	Q96QF0
P04141	P78552
Q15819	Q5T3J3
P17568	Q9Y6M9
O75365	Q9Y5L0
P54257	Q96NT1
P01106	Q9H2E6
P62136	Q10586
P78406	Q8N1F7
Q08116	Q9BWH2
P10600	Q14766
O14976	Q9UM73
O75970	Q9Y5I7
O15105	Q9BT81
P52434	Q9Y250
Q10570	Q6UN15
P07900	P16104
O15131	P43155
P0CG48	Q9UBN7
Q8IYX3	Q99750
P36406	Q13263
O94906	Q99459
P13747	P43631
O14686	Q9UBL3
P08670	Q5JVS0
P08887	P29459
P49642	P49643
Q14566	Q6IE81
O95918	P35626
O60729	Q9UM11
Q14683	Q8IWZ8
Q6QNY1	Q9H7E9
Q9GZM8	Q9H7U1
Q13480	Q99759
P29597	P38484
Q99594	Q9HCS4
P12931	Q9HCU4
P52565	P61586
P20333	P49585
P30153	Q16659
P84996	Q96PN6
O00141	Q13347
O15270	P41182
Q13368	Q8WV44
A0JLT2	Q9NWA0
P49407	P51684
Q96HA8	Q9BPX1
O00487	Q96CS7
Q8N5U6	Q9BVJ6
O95863	Q9H0J4
O15197	P55196
P36897	Q5T6F0
P60604	Q2TAA5
P01889	Q9NSE4
P05060	P61224
O75461	Q14188
P19784	Q92997
P04183	P60510
P20073	Q93063
P01344	P51654
O96019	Q15906
P53420	P53708
O95405	P36873
P22612	P46020
O15162	Q9P0T4
P10275	Q9UM63
O43768	Q8WXI2
Q96L33	Q9P107
O95455	P16333
P61769	Q15853
P61586	Q14185
P54646	Q9C0K7
O00238	P53778
O75367	Q08945
O43639	Q15768
P63000	Q6H8Q1
P31943	Q99459
O14818	Q9P2G9
P24821	P26006
P08559	Q15118
P04637	Q96FW1
O95427	Q9H1C4
P60174	Q16659
Q99570	Q9P2Y5
O43541	P37173
Q13158	Q8N488
P23508	P61964
P0CG48	Q07820
Q6UWZ7	Q99708
Q13547	Q9P0U3
O76100	P32121
O15287	Q8IYD8
O75475	Q03164
Q07889	Q8N392
Q9H6R7	Q9Y3C7
P63261	Q9ULL8
O95467	P22888
O15111	P38646
P05106	P11047
P57740	Q13315
Q13617	Q9HC36
Q06587	Q96LR5
P30304	Q9NYV4
O60462	P15692
P42263	P49841
P24941	Q9UJX2
O15105	O75925
O43524	P04637
O14924	Q13315
P04637	Q09472
P05107	Q9UKW4
P38405	Q96RD2
O00459	Q9UBI6
P62945	Q07020
P01889	Q6VMQ6
P59768	Q9H1C0
O75925	P08151
P55055	Q9UNI6
P63096	Q14833
P20618	P27824
O60266	P62879
P10916	P60709
P62316	Q8WXD5
O60573	Q9HBH9
P52292	Q9H213
Q13177	Q14155
Q16513	Q9UQL6
P07332	Q99704
P32298	P51677
P08833	Q12778
P29350	Q9UKW4
P57678	Q9UBC1
406901	P46109
P23588	Q9H9G7
O43561	P16885
O43541	O75582
P47804	Q96EK5
P15509	P17947
P05556	Q08050
P06702	P15153
P01225	P58012
P40818	Q96FZ7
P01106	Q969W9
P08754	P25024
P20333	Q15645
Q07020	Q16186
O75934	Q9UMS4
P30304	Q96PV7
P06748	P23508
O60269	Q9Y3M8
Q13596	Q9UNH7
A6NHA9	P32121
Q13797	Q9UQP3
Q15843	Q92889
P04049	P36873
Q71U36	Q9Y6G9
O95837	P46663
Q5SW79	Q9NRI5
Q05086	Q9Y6B2
P19793	Q96ST3
P11387	Q15233
P05113	P16471
Q5VZM2	Q8N122
Q8TCX5	Q969H4
Q13237	Q9Y691
P10720	P32302
P19474	Q13309
Q07890	Q96L33
P43360	Q9BWH6
O00217	P51970
O60237	Q13464
Q07890	Q92730
P36897	Q13153
P51610	Q13105
P60953	Q15811
Q15154	Q9NYB9
P16333	P30260
P21246	Q9H5J8
P15509	Q9NPH9
P17980	Q9NNW7
P23443	Q92934
P08631	Q9ULH1
O60739	P62273
P18146	Q9H246
Q66LE6	Q86US8
P20248	Q13416
P01106	Q9NRP4
P20701	P56945
O15182	Q5UIP0
Q99728	Q9NPI1
O43772	Q96RY5
Q96RR4	Q9Y478
P51828	Q9P2W3
P30408	P68366
P05091	P10809
P45985	Q9P286
Q07812	Q13263
O14965	Q13573
Q9BWU1	Q9P086
Q08211	Q13315
P16144	Q14031
P13688	Q06124
O60941	Q86X76
P51398	P62633
Q99623	Q9H9G7
P02654	Q9Y328
O96033	Q9NUQ8
Q9H6S1	Q9NVV4
Q96JN2	Q99459
Q14781	Q93009
Q68CP9	Q86U86
Q96BY7	Q9Y484
P12956	P49917
Q7Z6G3	Q8IYF3
P58876	Q9BY41
Q969G3	Q9UKL0
P00533	P08253
Q13315	Q6PCD5
Q14197	Q99551
Q9UEU0	Q9UNK0
P13501	P27986
O00206	P01106
P29350	Q5VWK5
P62829	P83731
Q01105	Q9NYV6
P27824	Q9HAU4
P45985	Q9UPT6
P62888	P62899
P63104	Q8WYL5
P12314	P24071
Q9UJX6	Q9UNH5
O15105	Q9HAU4
O75376	P01584
P14598	Q9Y2W2
O96017	P56645
Q13617	Q9UK73
Q92831	Q96ES7
P38159	Q8IYB3
P40763	P42224
Q15714	Q93008
P04637	Q9Y261
P18507	Q9H0R8
406882	P01116
Q13315	Q9BY77
P01106	Q9UIK4
P60981	Q9UKE5
O43809	O95400
Q96QZ7	Q9Y624
P08047	Q12882
P17612	Q14643
O75937	Q9BUJ2
P62136	Q13454
P61981	Q02241
P63104	Q00610
P35443	P53708
O15264	Q13485
P18621	P62888
P13501	P51685
O95084	Q99653
O75400	Q9Y4E5
Q15554	Q9NYB0
P62136	Q8NG31
P40337	Q9Y3B4
P06732	P12277
P19429	Q969Q1
P50570	Q12965
